	round_number	emotion	text_id	timestamp	prolific_id	anger	boredom	disgust	fear	guilt	joy	pride	relief	sadness	shame	surprise	trust	generated_text	hidden_emo_text	event_duration	emotion_duration	intensity	confidence	suddenness	familiarity	predict_event	pleasantness	unpleasantness	goal_relevance	chance_responsblt	self_responsblt	other_responsblt	predict_conseq	goal_support	urgency	self_control	other_control	chance_control	accept_conseq	standards	social_norms	attention	not_consider	effort	previous_participation	age	gender	education	ethnicity	extravert	critical	dependable	anxious	open	quiet	sympathetic	disorganized	calm	conventional	did_you_lie?	original_demographics
751	round-4	boredom	4268	2021/09/20 12:36:04 am EET	d938c9c41ca3be5e56e29bdfbc9dc29f	1	1	1	1	1	5	1	1	1	1	1	5	I was once admitted to the hospital and was bedridden for a month. During those times, I experienced a great deal of boredom.	I was once admitted to the hospital and was bedridden for a month. During those times, I experienced a great deal of ....	weeks	weeks	5	5	1	5	5	1	5	1	5	1	1	1	1	5	1	1	5	3	3	1	5	5	5	No, I participated before and answered the next set of questions.	23	Female	Graduate degree (MA/MSc/MPhil/other)	African	4.5	1.0	6.0	1.0	6.5	7.0	7.0	1.0	7.0	1.0	--	AVERAGED: text id 41549, 41867
6535	round-6	trust	61034	2021/11/01 8:59:04 pm CET	518c9890bc48cb46c04c1ae9e6cf64a5	1	2	1	1	1	1	1	1	1	1	1	1	one of my friends picked me up from a pregnancy termination and didn't tell a soul.	one of my friends picked me up from a pregnancy termination and didn't tell a soul.	weeks	weeks	5	4	3	1	1	2	2	5	5	3	3	4	2	5	5	1	2	5	2	1	5	3	5	Yes, first time, I will answer the following questions.	30	Female	Undergraduate degree (BA/BSc/other)	European	6.0	1.0	7.0	1.0	7.0	1.0	5.0	1.0	5.0	1.0	The event really happened in my life.	ORIGINAL
4563	round-5	relief	51981	2021/10/06 6:16:00 pm EET	40fbf9132a2451748823ede94f9ebf2f	1	2	1	2	3	3	3	2	1	1	1	1	When we completed on our house sale	When we completed on our house sale	minutes	hours	4	4	2	1	3	5	2	4	1	5	4	4	5	4	4	4	3	4	2	1	4	3	4	Yes, first time, I will answer the following questions.	34	Female	Undergraduate degree (BA/BSc/other)	European	3.0	6.0	6.0	6.0	2.0	5.0	5.0	1.0	5.0	1.0	The event really happened in my life.	ORIGINAL
2336	round-5	guilt	51004	2021/10/06 1:57:55 pm EET	46c596890064a76532f602936494eaf2	1	2	1	1	1	2	1	1	1	1	1	1	I smashed my friends pasta bowl	I smashed my friends pasta bowl	seconds	days	4	5	5	1	2	1	5	3	3	3	1	1	2	4	2	2	2	4	1	1	4	4	3	No, I participated before and answered the next set of questions.	21	Female	High school	European	5.0	5.0	3.0	6.0	6.0	3.0	5.0	3.0	3.0	2.0	The event really happened in my life.	COPIED FROM: text id 577
6449	round-5	trust	52869	2021/10/06 6:21:36 pm EET	ed9dcdbcf8ec80433c892c3e477e7bcc	1	1	1	1	1	1	1	1	1	1	1	1	My mother let me drive her car	My mother let me drive her car	hours	hours	3	5	2	3	2	4	1	2	3	4	3	2	3	3	3	3	2	2	1	1	4	1	2	No, I participated before and answered the next set of questions.	22	Female	Graduate degree (MA/MSc/MPhil/other)	European	5.0	5.0	6.0	7.0	6.0	4.0	6.0	2.0	3.0	2.0	The event really happened in my life.	COPIED FROM: text id 51274
186	round-4	anger	4120	2021/09/19 11:51:18 pm EET	eb239fbf5143766bc05813edcc4b9954	1	3	1	1	1	2	1	1	1	1	1	1	my car broke unexpectedly and needed to get repaired before I could drive it again, unable to get on public transport.	my car broke unexpectedly and needed to get repaired before I could drive it again, unable to get on public transport.	days	hours	5	5	5	1	1	1	5	4	5	3	5	4	3	5	2	4	3	3	5	1	5	1	4	No, I participated before and answered the next set of questions.	27	Female	Secondary education	European	5.0	4.0	5.0	5.0	6.0	3.0	5.0	1.0	3.0	2.0	--	COPIED FROM REJECTED: text id 411
3134	round-3	no-emotion	3740	2021/09/03 10:22:33 pm EET	c2155904a669447cac54421a82a8a5de	3	4	3	4	3	4	3	4	3	4	3	4	When i go for business.	When i go for business.	days	weeks	4	4	2	4	2	4	2	4	4	2	4	2	2	4	2	4	2	4	4	2	4	2	4	Yes, first time, I will answer the following questions.	43	Male	Graduate degree (MA/MSc/MPhil/other)	European	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	--	ORIGINAL
1987	round-5	fear	5781	2021/10/06 2:39:45 pm EET	9c1d1a1708fd110cdf4e64dbada079c9	2	4	1	1	1	2	3	2	1	1	1	2	I FELT FEAR I WAS ROBBED.	I FELT ... I WAS ROBBED.	minutes	weeks	5	5	5	1	1	1	1	5	1	1	5	1	1	5	1	5	1	1	5	5	5	5	5	No, I participated before and answered the next set of questions.	45	Male	High school	North American	4.0	3.0	7.0	5.0	2.0	4.0	3.0	5.0	6.0	3.0	The event really happened in my life.	COPIED FROM REJECTED: text id 558
3722	round-4	pride	41063	2021/09/20 2:22:58 am EET	ebba7f6fa7c92db18ea3d4bd5186adb9	1	1	1	1	1	2	1	4	1	1	1	1	I felt pride when I got my first apartment and was able to buy my own furniture.	I felt ... when I got my first apartment and was able to buy my own furniture.	days	weeks	3	5	1	2	3	5	1	5	1	5	2	2	5	4	4	3	1	2	1	1	5	1	5	Yes, first time, I will answer the following questions.	21	Female	High school	South American	5.0	5.0	6.0	4.0	7.0	5.0	6.0	3.0	6.0	5.0	--	ORIGINAL
1651	round-2	fear	275	2021/07/20 4:53:16 pm EET	72f58014e3ac660b732c9abf5d57dc71	1	2	3	1	2	2	1	1	1	1	1	2	my husband had covid a year ago with our infant. I didnt know if everything would be okay.	my husband had covid a year ago with our infant. I didnt know if everything would be okay.	days	days	4	4	3	1	1	1	5	3	3	1	3	4	1	3	2	4	4	2	2	1	4	3	4	Yes, first time, I will answer the following questions.	28	Female	High school	North American	5.0	4.0	6.0	6.0	6.0	3.0	5.0	2.0	4.0	1.0	--	ORIGINAL
1316	round-4	disgust	4422	2021/09/20 1:32:01 am EET	fdaa9bfdaf387bdc7eba1cd886a0ea12	1	1	1	1	1	1	1	1	1	1	1	1	walking into a portable toilet which was very unclean	walking into a portable toilet which was very unclean	seconds	minutes	4	4	4	3	5	1	5	2	3	1	5	4	1	4	1	2	1	3	4	1	3	5	2	No, I participated before and answered the next set of questions.	21	Female	High school	European	1.0	2.0	3.0	6.0	6.0	7.0	7.0	7.0	5.0	4.0	--	COPIED FROM: text id 4891
2622	round-4	joy	4740	2021/09/20 1:05:59 am EET	3223faee81ddd88de5936b691f7c9915	1	1	1	1	1	4	1	1	2	1	2	3	i felt joy when i won 500 pounds on a one pound scratch card and i only had 10 pounds to last me for 2 weeks so this made me very happy that i could go buy food for my kids and the joy on there faces made me happy. this was when i had nothing left.	i felt ... when i won 500 pounds on a one pound scratch card and i only had 10 pounds to last me for 2 weeks so this made me very ... that i could go buy food for my kids and the ... on there faces made me .... this was when i had nothing left.	weeks	weeks	5	5	4	3	3	5	1	4	5	4	3	3	5	3	4	3	4	4	3	3	5	3	5	No, I participated before and answered the next set of questions.	29	Female	High school	European	4.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	--	COPIED FROM REJECTED: text id 4195
524	round-6	anger	669	2021/11/01 8:59:09 pm CET	5b8cb71de665da5eb17bccdfd15a87b3	1	3	1	1	3	3	3	1	1	2	1	4	At work being talked down to.	At work being talked down to.	minutes	minutes	3	3	5	2	2	1	5	1	3	1	5	1	1	3	1	5	1	3	5	4	2	4	4	Yes, first time, I will answer the following questions.	36	Female	Graduate degree (MA/MSc/MPhil/other)	European	3.0	3.0	6.0	3.0	5.0	5.0	5.0	3.0	6.0	2.0	The event really happened in my life.	ORIGINAL
2192	round-6	fear	6387	2021/11/01 10:00:34 pm CET	f15188c1071e9fe2bfb27c3c0fe2f212	2	2	2	2	2	4	4	4	1	1	3	4	I fail at something and fear the consequences	I fail at something and ... the consequences	minutes	minutes	3	4	4	4	1	1	4	4	1	2	1	1	1	1	1	1	1	4	2	2	4	4	4	Yes, first time, I will answer the following questions.	26	Male	Graduate degree (MA/MSc/MPhil/other)	European	6.0	2.0	2.0	3.0	6.0	4.0	6.0	3.0	6.0	3.0	The event really happened in my life.	ORIGINAL
11	round-2	anger	27	2021/07/20 6:34:35 pm CET	b0ec57bab3c90f15c5ff0c8afa5373a6	2	3	1	1	1	3	3	3	1	1	1	2	I realised that someone I trusted completely does not trust me to the same extent	I realised that someone I trusted completely does not trust me to the same extent	minutes	days	4	4	5	1	3	1	5	1	3	1	4	5	1	4	2	5	1	3	4	1	2	1	3	Yes, first time, I will answer the following questions.	48	Female	Graduate degree (MA/MSc/MPhil/other)	European	5.0	2.0	6.0	3.0	6.0	4.0	6.0	2.0	5.0	2.0	--	ORIGINAL
5205	round-7	sadness	7183	2021/11/10 12:42:26 am CET	6a9e90d42aa88352cbec45c7cc146fcb	2	4	1	1	1	2	2	2	3	1	1	1	I was bullied in school	I was bullied in school	weeks	weeks	5	5	4	4	4	1	5	3	4	1	3	2	1	3	2	4	2	2	3	4	3	4	4	Yes, first time, I will answer the following questions.	26	Female	Secondary education	British	5.0	3.0	5.0	5.0	5.0	5.0	5.0	3.0	5.0	4.0	The event really happened in my life.	ORIGINAL
332	round-5	anger	569	2021/10/06 1:44:29 pm EET	755248fd7eb39843e71e610b595a1089	2	4	2	2	3	3	3	5	1	1	1	1	My boss asked me to work another shift when I had already worked 60 hours that week even when I was on a 15 hour contract	My boss asked me to work another shift when I had already worked 60 hours that week even when I was on a 15 hour contract	minutes	hours	4	2	5	3	3	1	4	2	3	1	4	3	1	4	4	5	1	3	3	3	4	4	4	Yes, first time, I will answer the following questions.	19	Female	Undergraduate degree (BA/BSc/other)	European	2.0	3.0	6.0	7.0	5.0	5.0	6.0	3.0	7.0	6.0	The event really happened in my life.	ORIGINAL
2691	round-4	joy	4825	2021/09/20 1:11:47 am EET	2bb0b2dc21ebcd1255f295143e524967	1	1	1	1	1	1	1	1	1	1	1	1	I felt joy the first time I watched my son use a computer. He made a level of Super Mario with a program called Mario Construct. He was five at the time, and it was amazing watching him so absorbed in concentration with figuring out how to use a computer, and watch how clever he was at it. Most of my most joyful memories are of watching him learn and achieve in the world.	I felt ... the first time I watched my son use a computer. He made a level of Super Mario with a program called Mario Construct. He was five at the time, and it was amazing watching him so absorbed in concentration with figuring out how to use a computer, and watch how clever he was at it. Most of my most ... memories are of watching him learn and achieve in the world.	hours	hours	4	5	2	2	3	4	1	2	1	4	5	3	3	1	4	5	1	5	1	1	3	1	2	No, I participated before and answered the next set of questions.	41	Male	Graduate degree (MA/MSc/MPhil/other)	North American	3.0	4.0	6.0	7.0	6.0	6.0	6.0	2.0	2.0	1.0	--	COPIED FROM: text id 4259
5566	round-3	surprise	31201	2021/09/03 10:52:05 pm EET	d3913f295c8ffcebdef3e667d5bbbeaf	1	3	1	1	2	1	1	1	2	3	1	3	I felt surprise the day my parents gave me my first car, it was a beater but I didn't expect them to do it and it was a pleasant surprise	I felt ... the day my parents gave me my first car, it was a beater but I didn't expect them to do it and it was a pleasant ...	weeks	weeks	4	4	5	2	1	5	1	4	1	2	5	1	5	5	4	4	1	5	1	1	5	1	4	No, I participated before and answered the next set of questions.	33	Female	Undergraduate degree (BA/BSc/other)	African	2.0	6.0	7.0	2.0	6.0	7.0	6.0	2.0	7.0	1.0	--	COPIED FROM: text id 3801
5896	round-5	surprise	52605	2021/10/06 6:09:50 pm EET	89dbeb1e59f29e5b0cb2ced8c5ad809d	1	3	1	1	1	1	1	1	1	1	1	1	I felt surprise when I found out I lost the mirror cover on car.	I felt ... when I found out I lost the mirror cover on car.	seconds	seconds	4	5	5	1	1	1	3	4	1	1	5	3	1	3	1	5	1	3	1	1	3	1	3	No, I participated before and answered the next set of questions.	23	Female	Undergraduate degree (BA/BSc/other)	European	6.0	3.0	7.0	6.0	7.0	6.0	7.0	5.0	5.0	1.0	The event really happened in my life.	COPIED FROM: text id 51533
3894	round-5	pride	51614	2021/10/06 3:06:32 pm EET	3ffdc17458a6d717ba8444354fa223a3	1	1	1	1	1	3	1	1	1	1	1	1	my son started mainstream school three weeks ago (he is diagnosed as autistic) and he went in happily, he had an excellent day and he came home to show me a piece of artwork which he had made. I was full of pride as he didnt communicate or show emotion till around 4 years old and i thought it would never happen.	my son started mainstream school three weeks ago (he is diagnosed as autistic) and he went in happily, he had an excellent day and he came home to show me a piece of artwork which he had made. I was full of ... as he didnt communicate or show emotion till around 4 years old and i thought it would never happen.	minutes	hours	3	5	3	1	1	5	1	1	1	1	4	1	3	4	1	4	1	1	1	1	4	1	1	No, I participated before and answered the next set of questions.	32	Female	High school	british	5.0	1.0	4.0	5.0	4.0	2.0	7.0	1.0	3.0	2.0	The event really happened in my life.	COPIED FROM: text id 51384
5867	round-5	surprise	52483	2021/10/06 3:26:25 pm EET	88901e5345854244e540f777f5716507	1	1	1	1	1	3	1	1	1	1	1	1	My boyfriend proposed to me in one of our favourite places!	My boyfriend proposed to me in one of our favourite places!	seconds	weeks	5	5	5	1	1	5	1	5	1	1	5	1	5	5	1	5	1	5	1	1	5	1	3	No, I participated before and answered the next set of questions.	36	Female	Graduate degree (MA/MSc/MPhil/other)	European	4.0	2.0	7.0	6.0	4.0	5.0	7.0	4.0	4.0	5.0	The event really happened in my life.	COPIED FROM: text id 5780
407	round-5	anger	5150	2021/10/06 2:30:26 pm EET	4b8fdfcea400d6cf59d7560bc8eed62a	1	1	1	1	1	1	1	1	1	1	1	1	When my neighbour refuses to cut his tree which damages my property	When my neighbour refuses to cut his tree which damages my property	weeks	weeks	4	5	2	4	5	1	5	4	1	1	5	4	3	2	1	5	1	2	3	3	4	4	5	No, I participated before and answered the next set of questions.	29	Female	Undergraduate degree (BA/BSc/other)	European	2.0	5.0	6.0	5.0	5.0	6.0	6.0	2.0	4.0	3.0	The event really happened in my life.	COPIED FROM: text id 52329
2573	round-3	joy	3598	2021/09/03 9:37:53 pm EET	a7722b7f8213371b3249419c3a245362	1	2	1	1	1	1	1	1	4	1	1	1	My children were born	My children were born	hours	hours	5	5	1	3	3	3	3	3	2	3	3	3	3	3	3	3	5	1	1	1	5	1	5	No, I participated before and answered the next set of questions.	35	Female	Undergraduate degree (BA/BSc/other)	European	2.0	1.0	5.0	7.0	5.0	6.0	7.0	3.0	4.0	1.0	--	COPIED FROM REJECTED: text id 31394
6014	round-6	surprise	6993	2021/11/01 9:22:33 pm CET	9e476dce42d8e09cbcd1fe143834d438	1	2	1	1	1	1	1	1	1	1	1	1	I had a win on the premium bonds	I had a win on the premium bonds	minutes	hours	4	4	3	3	1	5	1	3	5	2	1	1	2	1	1	1	5	3	1	1	1	1	1	Yes, first time, I will answer the following questions.	49	Female	Undergraduate degree (BA/BSc/other)	European	3.0	5.0	6.0	6.0	5.0	6.0	6.0	3.0	5.0	5.0	The event really happened in my life.	ORIGINAL
6203	round-4	trust	41777	2021/09/20 1:54:28 am EET	acf7bcfd8901c41ebc61560068effc88	1	2	1	1	1	5	4	1	1	1	1	5	I told my fiance a few personal secrets	I told my fiance a few personal secrets	minutes	minutes	2	5	2	2	5	5	1	2	2	5	1	4	5	4	5	4	1	5	2	1	2	1	1	No, I participated before and answered the next set of questions.	31	Male	Undergraduate degree (BA/BSc/other)	North American	6.0	6.0	7.0	2.0	5.0	2.0	7.0	6.0	7.0	7.0	--	COPIED FROM REJECTED: text id 41494
3544	round-6	no-emotion	6606	2021/11/01 10:03:41 pm CET	163bedab4d408dfb3112844b527bb9f4	1	2	1	1	1	3	4	4	2	1	1	3	washing up after dinner	washing up after dinner	minutes	minutes	3	5	1	3	4	2	3	1	1	3	3	3	2	3	3	1	3	2	3	1	3	4	2	No, I participated before and answered the next set of questions.	37	Female	High school	European	4.5	5.0	5.5	5.0	3.5	6.0	5.5	1.0	4.0	2.5	The event really happened in my life.	AVERAGED: text id 6510, 6884
3088	round-3	no-emotion	3679	2021/09/03 10:00:55 pm EET	21149172feef2cedb44d6ce23f050028	1	2	1	1	1	2	1	1	1	1	1	1	played basketball with my friend because I do not love but do not dislike sports.	played basketball with my friend because I do not love but do not dislike sports.	hours	hours	2	4	1	5	5	4	3	1	2	3	4	5	4	4	4	5	2	2	1	1	5	1	4	Yes, first time, I will answer the following questions.	22	Female	Undergraduate degree (BA/BSc/other)	North American	5.0	6.0	6.0	7.0	7.0	6.0	7.0	5.0	6.0	3.0	--	ORIGINAL
2230	round-3	guilt	3530	2021/09/03 5:51:28 pm EET	09af3e4ee6279fe7e8e3b9b4abd1d8b5	1	1	1	1	1	1	1	1	1	1	1	1	I was a bit rude in my response to a customer when they asked me a question while I was passing by their house, as I was very busy delivering something to someone else. my response was a bit too sharp.	I was a bit rude in my response to a customer when they asked me a question while I was passing by their house, as I was very busy delivering something to someone else. my response was a bit too sharp.	seconds	minutes	2	4	5	5	3	3	2	1	4	4	4	1	1	5	4	4	2	1	3	2	3	1	1	No, I participated before and answered the next set of questions.	50	Male	Undergraduate degree (BA/BSc/other)	European	1.0	2.0	6.0	6.0	6.0	7.0	6.0	4.0	5.0	6.0	--	COPIED FROM: text id 3384
2919	round-5	joy	51232	2021/10/06 5:31:26 pm EET	42c55fe4acbf1fe8e6866d999f57e439	1	2	1	1	1	3	1	1	1	1	1	3	i reached my target bank balance to purchase a house	i reached my target bank balance to purchase a house	seconds	days	4	4	5	2	2	5	1	3	2	5	1	2	4	4	4	1	1	5	1	1	3	1	4	Yes, first time, I will answer the following questions.	24	Female	Undergraduate degree (BA/BSc/other)	European	2.0	5.0	4.0	1.0	4.0	3.0	2.0	1.0	6.0	6.0	The event really happened in my life.	ORIGINAL
5504	round-2	surprise	2209	2021/07/20 5:16:51 pm EET	6b6eebfc83deea4fea1bf929230a91a6	1	1	1	1	1	3	2	4	1	1	1	2	I had a call from my sister	I had a call from my sister	minutes	hours	3	3	2	4	3	2	5	5	4	5	4	5	3	4	3	5	4	5	4	3	5	5	4	Yes, first time, I will answer the following questions.	55	Male	Secondary education	European	4.0	3.0	5.0	1.0	5.0	6.0	5.0	4.0	4.0	4.0	--	ORIGINAL
1252	round-4	disgust	4339	2021/09/20 1:02:12 am EET	461fc2095480b5a1f942884d5e9ea5bb	1	2	1	1	1	4	3	4	2	1	1	5	I felt disgust because a close pen pal of mine wasn't responding to my letters anymore, which made me sad. but replied my letter after a month, and i said to her how much i missed her. only for her to say she doesn't feel the same.	I felt ... because a close pen pal of mine wasn't responding to my letters anymore, which made me sad. but replied my letter after a month, and i said to her how much i missed her. only for her to say she doesn't feel the same.	weeks	days	5	5	3	4	5	1	5	2	5	1	2	4	2	1	4	1	4	4	2	1	3	5	4	Yes, first time, I will answer the following questions.	38	Female	Graduate degree (MA/MSc/MPhil/other)	White	6.0	4.5	5.8	5.5	5.3	5.2	4.2	2.7	3.2	3.3	--	AVERAGED: text id 4339, 4537, 4658, 4936, 41546, 41602
822	round-5	boredom	5258	2021/10/06 1:53:38 pm EET	5c523efcc82be996cbbc65b994e64819	1	1	2	1	2	3	3	2	1	1	2	3	As a result of a system failure in work I was unable to carry out any of my tasks	As a result of a system failure in work I was unable to carry out any of my tasks	hours	hours	3	5	5	3	2	5	5	4	3	1	1	2	2	5	1	4	4	1	5	4	4	3	2	No, I participated before and answered the next set of questions.	26	Male	Undergraduate degree (BA/BSc/other)	European	5.0	3.0	5.0	3.0	5.0	3.0	5.0	1.0	5.0	5.0	The event really happened in my life.	COPIED FROM: text id 585
5324	round-4	shame	41547	2021/09/20 2:08:58 am EET	7b127119b469019d03283e38449b2045	1	3	1	1	1	1	1	1	1	1	1	1	i felt shame when i stole money off my mum when she was struggling for money. i regretted doing it and owned up to it and felt shame.	i felt ... when i stole money off my mum when she was struggling for money. i regretted doing it and owned up to it and felt ....	minutes	days	5	4	1	1	3	1	5	5	1	5	1	5	1	5	5	1	1	2	5	5	5	5	4	No, I participated before and answered the next set of questions.	19	Female	Undergraduate degree (BA/BSc/other)	Middle Eastern	6.0	4.0	7.0	3.0	7.0	4.0	7.0	1.0	3.0	6.0	--	COPIED FROM: text id 4938
5007	round-5	sadness	52112	2021/10/06 2:51:24 pm EET	4ce481ce4841b318f5ea1f5f450b4af9	1	4	1	5	1	3	5	5	1	1	1	5	when I couldn't see my partner for almost a year due to covid	when I couldn't see my partner for almost a year due to covid	weeks	weeks	5	5	5	1	1	1	5	5	5	1	1	3	1	5	1	1	5	2	5	1	5	5	5	No, I participated before and answered the next set of questions.	47	Female	Secondary education	European	6.0	3.0	7.0	6.0	6.0	1.0	7.0	4.0	2.0	2.0	The event really happened in my life.	COPIED FROM: text id 522
1298	round-4	disgust	4463	2021/09/20 12:55:05 am EET	6bfd2605e536e41673a5e5a2e3052c7d	1	3	1	1	1	1	1	1	1	1	1	1	when someone was being racist to someone else	when someone was being racist to someone else	minutes	days	5	5	5	3	1	1	5	1	1	1	5	1	1	5	4	5	1	1	5	5	5	1	5	No, I participated before and answered the next set of questions.	22	Male	Undergraduate degree (BA/BSc/other)	South Asian	4.0	5.0	6.0	1.0	5.0	5.0	3.0	2.0	6.0	4.0	--	COPIED FROM: text id 41572
3689	round-3	pride	3852	2021/09/03 10:31:22 pm EET	8f3b678bcdf5c11fa518f857bab26613	2	3	1	1	1	4	4	4	3	1	2	4	I was accepted onto my university course	I was accepted onto my university course	seconds	days	4	5	3	4	4	4	1	5	1	3	2	3	4	3	3	2	2	3	2	1	2	3	3	Yes, first time, I will answer the following questions.	23	Male	High school	European	3.0	5.0	4.0	5.0	5.0	6.0	5.0	5.0	4.0	4.0	--	ORIGINAL
5211	round-7	sadness	7191	2021/11/10 12:47:56 am CET	3aa6c7fd9bc33a91d933bcb6996d9a59	1	2	1	1	1	1	1	2	2	1	2	1	Duncan Ferguson left everton football club	Duncan Ferguson left everton football club	weeks	weeks	5	5	3	4	2	1	4	2	2	1	4	4	1	1	1	3	4	4	4	1	4	4	4	Yes, first time, I will answer the following questions.	33	Female	High school	European	6.0	6.0	6.0	1.0	6.0	3.0	6.0	1.0	6.0	6.0	The event really happened in my life.	ORIGINAL
3496	round-6	no-emotion	6552	2021/11/01 9:32:47 pm CET	a8b9b3bbdbba798fd6645c7f1b8adbcb	1	1	1	1	1	2	2	1	1	1	1	1	I was mowing the grass	I was mowing the grass	minutes	I had none	2	4	1	4	4	3	1	1	1	4	1	4	3	1	3	1	1	3	1	1	4	1	3	No, I participated before and answered the next set of questions.	43	Female	High school	European	6.0	2.0	6.0	5.0	6.0	2.0	7.0	2.0	6.0	4.0	The event really happened in my life.	COPIED FROM: text id 6168
803	round-5	boredom	5360	2021/10/06 1:43:13 pm EET	4afe7a89d3a52957efdcc75e1388f297	1	3	1	1	1	1	1	1	2	1	1	1	I had no one to talk to and i felt no interesting in doing anything in particular	I had no one to talk to and i felt no interesting in doing anything in particular	hours	hours	4	5	2	5	5	1	5	2	1	5	1	5	1	2	3	1	2	4	2	4	3	5	2	Yes, first time, I will answer the following questions.	22	Male	High school	North American	1.0	6.0	3.0	5.0	5.0	6.0	5.0	5.0	3.0	6.0	The event really happened in my life.	ORIGINAL
2270	round-4	guilt	4673	2021/09/20 1:22:56 am EET	f9f5d01311e23769b4cacd22e498bfe8	1	1	1	1	1	1	1	1	1	1	1	1	I did something wrong	I did something wrong	minutes	minutes	5	5	1	1	1	1	4	1	1	4	1	3	1	4	1	4	3	1	1	1	3	5	3	No, I participated before and answered the next set of questions.	20	Female	High school	European	4.0	4.0	6.0	2.0	5.0	1.0	4.0	4.0	4.0	4.0	--	COPIED FROM: text id 41115
3628	round-3	pride	3784	2021/09/03 9:53:54 pm EET	d8bee2acb2c21ccac0330b0bef7b721b	1	2	1	1	1	3	1	2	3	1	1	2	when my nephew took his first steps	when my nephew took his first steps	seconds	hours	3	4	5	1	1	4	1	2	3	1	5	2	3	3	2	5	2	4	1	1	4	1	2	No, I participated before and answered the next set of questions.	26	Female	Undergraduate degree (BA/BSc/other)	North American	5.0	6.0	6.0	3.0	7.0	5.0	5.0	2.0	6.0	1.0	--	COPIED FROM: text id 3630
2062	round-5	fear	5949	2021/10/06 3:52:52 pm EET	137d0ec16217b426a5e1e5df55453ff9	1	2	1	1	1	3	3	1	2	1	1	1	I felt fear when I found out my ex partner was cheating on me. Because I had invested so much time, I felt humiliated and scared for my future.	I felt ... when I found out my ex partner was cheating on me. Because I had invested so much time, I felt humiliated and ... for my future.	weeks	weeks	5	4	4	1	1	1	5	4	1	1	4	1	1	5	1	4	1	4	5	5	4	1	5	Yes, first time, I will answer the following questions.	32	Male	Graduate degree (MA/MSc/MPhil/other)	White British	2.0	5.0	5.0	6.0	5.0	4.0	6.0	3.0	3.0	1.0	The event really happened in my life.	ORIGINAL
246	round-4	anger	493	2021/09/20 12:16:28 am EET	cbc314a699457bb6b33270f2d8c06142	2	5	3	1	1	2	1	4	3	1	1	1	My grandma fell because her children didn’t care for her properly	My grandma fell because her children didn’t care for her properly	weeks	weeks	5	5	4	1	3	1	5	4	1	1	5	4	1	5	1	5	1	1	5	3	4	1	5	Yes, first time, I will answer the following questions.	27	Female	High school	White	1.0	6.0	3.0	7.0	5.0	7.0	7.0	6.0	2.0	3.0	--	ORIGINAL
3050	round-3	no-emotion	3751	2021/09/03 9:52:19 pm EET	9e9fc44150f6cf00e94124c94ebe5151	2	2	3	4	2	2	2	2	1	1	2	2	I lost my puppy	I lost my puppy	days	days	2	3	4	3	3	4	4	4	4	4	3	3	3	3	3	3	3	3	2	2	2	2	3	Yes, first time, I will answer the following questions.	37	Female	Undergraduate degree (BA/BSc/other)	European	3.5	3.5	3.0	4.0	3.0	4.0	4.0	4.0	3.5	3.5	--	AVERAGED: text id 3585, 3751
4693	round-3	sadness	31093	2021/09/03 9:32:47 pm EET	4cd83c61495521cce50246c680de7775	1	2	1	1	1	1	1	1	1	1	1	1	an I learned an acquaintance was suffering from alcoholism	an I learned an acquaintance was suffering from alcoholism	minutes	hours	3	4	2	1	3	1	3	2	1	1	5	2	1	1	1	3	2	3	4	2	3	2	2	No, I participated before and answered the next set of questions.	24	Male	High school	European	2.0	5.0	3.0	6.0	5.0	5.0	7.0	5.0	6.0	5.0	--	COPIED FROM: text id 3537
5114	round-6	sadness	6821	2021/11/01 8:18:34 pm CET	e7d632e4fd32c99001a812bd686b3786	1	1	1	1	1	1	1	1	2	1	1	1	Our IVF cycle failed	Our IVF cycle failed	days	weeks	5	5	2	2	1	1	4	5	4	1	1	2	3	3	1	2	5	3	1	1	5	3	5	No, I participated before and answered the next set of questions.	41	Female	Graduate degree (MA/MSc/MPhil/other)	European	2.0	1.0	6.0	3.0	4.0	5.0	6.0	2.0	6.0	5.0	The event really happened in my life.	COPIED FROM: text id 31363
6540	round-6	trust	61042	2021/11/01 9:26:31 pm CET	572151767d57b81f026dac64da18a412	1	3	1	1	1	3	2	1	4	1	1	1	I felt trust when my friends came to be with their secrets and problems	I felt ... when my friends came to be with their secrets and problems	weeks	weeks	4	5	1	5	5	5	1	5	1	5	5	5	5	5	5	5	1	1	1	1	5	1	2	Yes, first time, I will answer the following questions.	27	Female	Secondary education	European	7.0	5.0	4.3	2.3	6.3	1.0	6.0	2.7	4.3	3.0	The event really happened in my life.	AVERAGED: text id 5722, 52393, 61042
3815	round-4	pride	41141	2021/09/20 12:42:41 am EET	1c6a8eb893404edeb58981b5f8b084bb	1	1	1	1	1	2	1	1	2	1	1	1	I felt pride when my phone bill was wrong but I phoned the company myself to get it fixed to the proper amount	I felt ... when my phone bill was wrong but I phoned the company myself to get it fixed to the proper amount	minutes	minutes	4	5	4	1	4	5	4	4	1	1	5	3	5	5	5	5	1	2	5	4	5	1	2	No, I participated before and answered the next set of questions.	22	Female	No formal qualifications	European	5.0	3.0	6.0	6.0	5.0	5.0	6.0	3.0	6.0	5.0	--	COPIED FROM: text id 4147
